round,accuracy,reward
1,0.6666666666666666,0.7564042138358897
2,0.6666666666666666,0.08304560171130983
3,0.6666666666666666,0.09079588114137797
4,0.6666666666666666,0.10954893945778192
5,0.6666666666666666,0.09185474963505065
6,0.6666666666666666,0.08583764192822631
7,0.6666666666666666,0.09218842473928858
8,0.6666666666666666,0.09664679828720717
9,0.6666666666666666,0.0899506281868174
10,0.75,0.1708424729515735
11,0.75,0.1047342593442069
12,0.75,0.09403119840901485
13,0.75,0.09982953994374513
14,0.75,0.09016986829908225
15,0.75,0.1010383644590062
16,0.75,0.09670852143721854
17,0.75,0.0947272528890228
18,0.75,0.08602765996119374
19,0.75,0.08849280107663454
20,0.6666666666666666,0.011088326073931972
