round,accuracy,reward
1,0.6666666666666666,0.761259109793714
2,0.6666666666666666,0.09861409372875517
3,0.6666666666666666,0.10031769461158813
4,0.6666666666666666,0.0951491301104172
5,0.6666666666666666,0.09812900257782153
6,0.6666666666666666,0.10121533378806219
7,0.6666666666666666,0.0895603557454337
8,0.6666666666666666,0.10579838393835096
9,0.6666666666666666,0.09752422506432039
10,0.6666666666666666,0.09716083081715189
11,0.75,0.18850153798997385
12,0.75,0.09475507734142344
13,0.75,0.0948645161973911
14,0.75,0.0971799563574811
15,0.75,0.09073487900707866
16,0.75,0.09059160716064024
17,0.75,0.09641913981762337
18,0.75,0.10238697741086189
19,0.75,0.08115439623504654
20,0.5833333333333334,-0.07698913716183407
